"text","cmp_code","eu_code"
"O nome do meu segundo mandato será desenvolvimento.","416.2",NA
"Desenvolvimento com distribuição de renda","503",NA
"e educação de qualidade.","506",NA
"Em outubro de 2002 o povo brasileiro elegeu Lula para presidir um país corroído por profundas contradições econômicas, sociais e políticas que deixaram um legado de desigualdade, autoritarismo e dependência externa.","503",NA
"Lula passou a governar uma das nações mais desiguais do mundo, cuja tragédia social se expressava nas dezenas de milhões de homens, mulheres e crianças vivendo abaixo da linha de pobreza, submetidos a todas as formas de insegurança e violência.","503",NA
"O Governo Lula recebeu uma dupla herança negativa.","000",NA
"Conjunturalmente, em 2002, o país sofria os efeitos das políticas implementadas pela coligação PSDB-PFL, que frearam o crescimento,","410",NA
"concentraram renda e riqueza,","503",NA
"debilitaram o Estado,","305.3",NA
"generalizaram a corrupção,","304",NA
"afetaram o equilíbrio regional,","107",NA
"fragilizaram a segurança energética,","408",NA
"comprometeram a soberania nacional","109",NA
"e deixaram o país à beira de uma nova crise macroeconômica.","414",NA
"Estruturalmente, o país vivia as conseqüências de décadas de um crescimento concentrador de renda e de poder,","503",NA
"constantemente mergulhado em crises inflacionárias ou de endividamento,","414",NA
"incapaz de criar bases sólidas para financiar um desenvolvimento duradouro, que combinasse crescimento, democracia e bem-estar social.","416.2",NA
"Frente a essa realidade, o Governo Lula apontou o caminho da mudança.","416.2",NA
"Depois de quase três décadas perdidas, o Brasil ingressou em uma etapa de desenvolvimento sustentável.","416.2",NA
"As mudanças são visíveis, como atestam principalmente a expansão do emprego e da renda de milhões de brasileiros.","503",NA
"Caberá ao segundo mandato avançar mais aceleradamente no rumo desse novo ciclo de desenvolvimento.","416.2",NA
"Um desenvolvimento de longa duração,","416.2",NA
"com redução das desigualdades sociais e regionais,","503",NA
"respeito ao meio ambiente","501",NA
"e à nossa diversidade cultural,","607.1",NA
"emprego e bem-estar social,","416.2",NA
"controle da inflação,","414",NA
"ênfase na educação,","506",NA
"democracia e garantia dos Direitos Humanos,","201.2",NA
"presença soberana no mundo","103.1",NA
"e forte integração continental.","108",NA
"Esse é o compromisso que assumem o Partido dos Trabalhadores, o Partido Comunista do Brasil, o Partido Republicano Brasileiro, compromisso compartilhado com todas as forças políticas e sociais que apóiam a reeleição de Lula e José Alencar para Presidente e Vice-Presidente do Brasil, como o Partido Socialista Brasileiro e a maioria do Partido do Movimento Democrático Brasileiro.","000",NA
"Este Programa resume as grandes orientações para o Governo 2007-2010 e será detalhado em Programas Setoriais.","000",NA
"Ele representa o compromisso de todos os partidos e movimentos sociais mobilizados para a reeleição de Lula com o conjunto da sociedade.","000",NA
"É também uma aposta no futuro do país, respaldada pela força e pela participação do povo brasileiro.","202.1",NA
"Para tanto, apontará para um conjunto de ações, que traduzirão concretamente nossa disposição de avançar no caminho das mudanças exigidas pelo povo brasileiro.","416.2",NA
"Apesar dos grandes avanços logrados no primeiro mandato deste Governo, há um longo caminho a percorrer para enfrentar com êxito a aflitiva situação em que vivem ainda milhões de brasileiros.","503",NA
"A reeleição de Lula é a garantia de que não haverá retroces-so, de que a transição para um novo Brasil não terá seu curso interrompido.","305.2",NA
"É certeza também de que as mudanças se farão com o fortalecimento da democracia e a renovação de nossa cultura política.","202.1",NA
"O ENFRENTAMENTO DO ATRASO",NA,NA
"Contrariamente ao que propala hoje a oposição conservadora, o Brasil de 2003 não estava pronto para ingressar imediatamente em um período de crescimento acelerado.","305.2",NA
"Para que isso ocorresse, foi necessário o advento de um governo comprometido com outro modelo de desenvolvimento, opção que só foi feita quando mais de 52 milhões de brasileiros decidiram pela mudança, votando em Lula.","305.2",NA
"O Governo Lula viu-se desde o início diante de um duplo desafio.","305.2",NA
"Por um lado, evitar a catástrofe que ameaçava a economia, propalada e estimulada por personagens do governo anterior, incapaz de dar respostas nacionais à crescente vulnerabilidade externa da economia.","305.2",NA
"Por outro lado, conduzir uma transição de modelo, realizando transformações econômicas, políticas e sociais sintonizadas com a nova maioria que se constituíra no país.","416.2",NA
"O Governo Lula enfrentou exitosamente os dois desafios.","416.2",NA
"A catástrofe anunciada pela direita foi evitada.","416.2",NA
"Nestes últimos três anos e meio o Brasil iniciou um processo de desenvolvimento com inclusão social,","416.2",NA
"controle da inflação,","414",NA
"redução da vulnerabilidade externa,","103.2",NA
"fortalecimento da democracia e participação popular.","202.1",NA
"Os êxitos obtidos nesta transição nos permitirão novos avanços no caminho do desenvolvimento.","416.2",NA
"Há hoje uma combinação única de fatores que dará ao segundo mandato uma qualidade historicamente inédita: crescimento sustentável,","416.2",NA
"estabilidade monetária e responsabilidade fiscal,","414",NA
"redução da vulnerabilidade externa,","103.2",NA
"expansão do investimento, da produção e da produtividade,","410",NA
"ampliação do mercado interno e externo,","407",NA
"crescimento e formalização do emprego,","701",NA
"aumento da massa salarial real e expansão do crédito,","701",NA
