Text,Code
Notas necessárias,999
"No Brasil, se tem feito, até hoje, a política dos ricos, o direito dos ricos, ajustiça dos ricos.",999
É tempo que se faça também a dos pobres.,999
João Mangabeira,999
"Mas, para nós, as eleições, que queremos e vamos ganhar, não se reduzem a esse papel instrumental.",999
"Para nós, a política não é uma simples soma de votos, muitas vezes alcançada mediante a negação de princípios.",999
"Por isso, o Programa de governo de Anthony Garotinho é uma aplicação do Programa do PSB.",999
"Nossos compromissos são com os pobres; pretendemos organizá-los, pretendemos representá-los.",999
"Não, nosso projeto é substituí-la de forma radical: transformar a concentração em distribuição,",999
"a exclusão em inclusão,",999
substituir a tendência centralizadora e autoritária da União pela construção de um verdadeiro e legítimo pacto federativo.,999
"Nosso compromisso é com a Nação e a soberania,",999
"o desenvolvimento e o pleno emprego, a riqueza",999
"e a distribuição de renda,",999
a sustentabilidade,999
e a democracia representativa.,999
Nosso compromisso é com a esperança e a felicidade.,999
Para retomar o desenvolvimento do país –,999
"projeto que não é incompatível com o combate à inflação -,",999
seja na política fiscal de cortes de gastos públicos essenciais.,999
Qual a herança que nos legarão os conservadores?,999
"A recessão,",999
"o desemprego crescente, a precarização do trabalho,",999
"a destruição dos sistemas previdenciários públicos,",999
"o isolamento social, a guetização das zonas urbanas, a violência incontrolada,",999
"a degradação da vida de milhões e milhões de trabalhadores, engrossando os contigentes de excluídos.",999
"A destruição do sistema de saúde pública, o retorno das endemias e o surto de epidemias.",999
"O endividamento e a dependência crescente ao capital financeiro especulativo internacional, consumindo nossas reservas e nossa poupança.",999
Uma imoral concentração de renda.,999
Este Brasil injusto pode ser mudado.,999
Mudá-lo é o projeto de governo do PSB.,999
Ele encerra os compromissos de seu candidato.,999
"Não se trata, porém, de obra fechada, acabada.",999
Muito ao contrário.,999
Sabemos que vários temas não puderam ser concluídos no curto prazo de três meses consumidos nesta sua primeira versão.,999
Continuaremos trabalhando.,999
"Esperamos a discussão partidária, as sugestões e as críticas.",999
"E assim, esse Programa deverá estar sempre aberto à revisão, colhendo a todo momento a contribuição de nosso povo.",999
Nosso diferencial na campanha será essa discussão.,999
"Realizá-la, é o primeiro passo para derrotar nossos adversários.",999
Colaborou de forma destacada a Fundação João Mangabeira.,999
A todos os agradecimentos do PSB e dessa coordenação.,999
"Rio, 4 de junho de 2002",999
