"content","cmp_code","eu_code"
"ÍNDICEMartin Claret, o idealizador e coordenador editorial deste livro é gaúcho de Ijuf, 61 anos, empresário e pesquisador das ciências do desenvolvimento e da Auto-Realização do ser humano. Preside a Fundação Huberto Rohden (em fase de constituição jurídica) e, presentemente, trabalha na redação final de seu livro A Arte de Pensar Positivamente. Presta assessoria gráfica a grupos culturais e políticos.J. C. Bruno, autor da programação visual, é artista gráfico, autodidata, paulista, tem 39 anos e nos últimos 19 anos desenvolve inúmeros trabalhos para a área editorial, ópera e comunicação visual para empresas.PapelSamab / PisaImpressão e Acabamento Edições Paulinas© Martin Claret Editores -1989Digitação e Paginação EletrônicaHouse EditorialRevisãoAttílio CancianFototetras TakanoFotolitos Center GraphFoto Capa F4/Paula SimasPrefácio dos EditoresDados Biográficos e Currículo Color e a ImprensaIdéias de ColorPensamentos de CollorProjeto Brasil NovoDiretrizes Básicas aos EmpresáriosCartilha do PRN7 11 41 81 87 99 137 150DistribuiçãoMartin Claret EditoresMartin Claret Editores Ltda.Rua Alegrete, 62 - Bairro Sumaré CEP 01254 - Caixa Postal 989.7 Telefone:(011) 262-8144Sao Paulo - SPA disposição e apresentação da estrutura deste livro em suas características editorial, artística e a forma em que está disposta são propriedade da Martin Claret Editores, estando sua reprodução proibida por qualquer meio, sem autorização por escrito dos editores.Impresso no inverno de 1989 - São Paulo - Brasil16",NA,NA
"PREFÁCIO DOS EDITORESNo célebre livro A Riqueza das Nações, Adam Smith ensina aos seus leitores que a riqueza e o desenvolvimento das nações dependem, fundamentalmente, do homem Ele proclama que as nações são construídas e reconstruídas pela cooperação e esforço consciente de toda a sociedade que constitui estas mesmas nações. ""O primeiro capital do homem é o próprio homem.""O Brasil, com sua geografia continental, é um país emergente.O brasileiro, por vocação e permanente estado criativo, tem grande potencial de realizações.Somos os primeiros em vários campos da atividade humana: Pelé, o maior jogador de futebol do mundo; Olacyr de Moraes, o maior produtor individual de soja do mundo; temos a maior floresta tropical (bacia amazônica) do mundo; a hidroelétrica binacional Itaipu, hoje é considerada a maior geradora de eletricidade do mundo; nosso subsolo guarda as maiores jazidas deste ou daquele minério.Mas, devemos ser realistas.Infelizmente, ainda existem muitos fatos negativos no País, e que devem ser superados.Nós acreditamos no futuro do Brasil.Acreditamos no grande potencial do homem brasileiro.O invisível círculo, que nos limita dentro do conceito de Terceiro Mundo, certamente na próxima década será, rompido, e o nosso destino como nação soberana será mais do que a ""oitava economia do mundo"" .Politicamente estamos entrando numa nova era de possibilidades positivas.Os tempos de trevas e retrocesso estão sendo superados.Homens idealistas e com coragem política já estão criando os fundamentos para a verdadeira reconstrução nacional.O candidato à Presidência da República, Fernando Collor, sem alianças tuteladas, é um desses reconstrutores do País.Com intuição, coragem política e poderosa convicção, está criando no Paísuma expectativa de esperança de ""dias melhores"".Fernando Collor inaugura uma nova ação político-econômica - a caça aos marajás, encastelados em autarquias e estatais.Ele levanta a bandeira contra mordomias e corrupção.E declara que a guerra contra ""a inflação não é apenas um princípio de governo.E um compromisso de minha geração"".As calorosas palavras: ""Venho em nome da fé, como mandatário da Verdade, sob a inspiração da Liberdade com Justiça,"" que servem de abertura do seu Projeto Brasil Novo, vêm empolgando grande segmento da sociedade brasileira.Fernando Collor, com mais de 40% de intenção de votos, como mostram as últimas pesquisas, transformou-se, politicamente, num ""fenômeno nacional.""Nós, como milhares de outros brasileiros, não podíamos ficar indiferentes a esse esforço e trabalho de reconstrução do País.E aqui estamos atendendo ao seu brado de campanha - ""Eu preciso de vocês!"" , tantas vezes proferido.Sentimos ser o nosso dever participar desse grande Projeto de reconstrução do País.Este livro é uma resposta a esse desafio político.E, também, é uma homenagem aos pais do candidato -senhora Leda Collor de Mello e o saudoso senador Arnon de Mello, nossos amigos e antigos companheiros de Retiros Espirituais, e de campanhas culturais.O livro é construído em forma de grande reportagem.Com diagramação moderna e suficientemente ilustrado.É um retrato político de corpo inteiro de Fernando Collor de Mello, o mais jovem candidato à Presidência da República.Grande parte deste material é constituída da essência (texto compactado) de entrevistas concedidas pelo candidato a revistas e jornais, recentemente publicados no País.Nosso objetivo é oferecer ao leitor não só os dados biográficos de Fernando Collor de Mello, mas também suas realizações, seus ideais e seu pensamento político.A parte fundamental do livro é o texto Projeto Brasil Novo - Propostas de Fernando Collor para Reconstruir o Brasil, apresentado pelo candidato em Brasília, por ocasião da homologação da sua candidatura à Presidência da República, pelo PRN.Em virtude de um calendário circunstancialmente estabelecido, este livro foi feito em regime de urgência e em curto prazo de tempo.Sua construção e publicação só foram possíveis porque recebemos a colaboração de muitos amigos.Particularmente gostaríamos de registrar, por escrito, a inestimável ajuda de quatro pessoas, sem as quais o livro não teria sido publicado.Primeira: Leda Collor de Mello, mãe do candidato, que pesquisou e forneceu grande parte do material fotográfico e de texto; o jornalista Cláudio Humberto, assessor de imprensa de Fernando Collor, pela orientação e sugestões técnicas; o empresário Leopoldo Collor, pelo apoio cultural; o sociólogo e professor Valmor Bolan, que desde o início acreditou no projeto e o tornou estrategicamente viável; e, por último, o cooperativista Adolpho Fregni, pelo apoio psicológico e incansável trabalho de coordenação do projeto.Este livro é um ato de fé no futuro do Brasil.E, ao finalizarmos este prefácio, gostaríamos de fazê-lo com as seguintes palavras do candidato à Presidência da República, Fernando Collor: ""Vamos começar un Brasil novo!""Martin Claret",NA,NA
"PROJETO BRASIL NOVOEste texto – Projeto Brasil Novo - é a íntegra do discurso, com duração de 1h40, que Fernando Collor proferiu durante a convenção do PRN (Partido da Reconstrução Nacional), em Brasília, no dia 12 de julho de 1989, quando sua candidatura foi oficialmente homologada pelo partido.O discurso, que contém uma série de proposta de governo, foi a resposta àqueles que acusaram Collor de não ter um programa de governo.""Venho, em nome da fé, como mandatário da Verdade e sob a inspiração da Liberdade com Fernando Collor e seu vice, senador Itamar Franco. (Foto Ag. Estado).Justiça"", anunciou o candidato, no início de sua fala.Collor,  ainda, um apelo contra a radicalização da campanha eleitoral: ""Temos que nos comportar como adversários, nunca como inimigos"" .No final da exposição de sua plataforma de governo, fez uma análise, acentuando que ""o agravamento do conflito pelo poder, na hipótese de um confronto no segundo turno, pode pôr em risco o entendimento, com graves e imprevisíveis conseqüências para a governalidade e para o futuro da redemocratização"" .A plataforma de governo de Collor teve grande e positiva repercussão na imprensa falada e escrita, e nos meios políticos do Pais.A fim de que os eleitores de todo o Brasil possam ter completo, conhecimento do conteúdo deste importante documento político, estamos, aqui reproduzindo na íntegra.",NA,NA
"Projeto Brasil Novo","H",NA
"Plataforma de Governo","H",NA
"Proposta de Fernando Collor de Mello para reconstruir o Brasil","H",NA
"Dr. Daniel Tourinho: Senhor Presidente do Partido Trabalhista Renovador.Dr. José Colagrossi Netto;Meu companheiro nesta jornada, candidato à Vice-Presidência, Senador Itamar Franco;Senhores Convencionais, Minhas Senhoras, Meus Senhores:",NA,NA
"Ao agradecer minha investidura como candidato à Presidência da República, quero que minha primeira manifestação seja a da plena consciência das responsabilidades que assumo neste ato, perante toda a Nação e diante da opinião pública de meu País.","305.2",NA
"I - Compromissos de Minha Geração","H",NA
"Não cumpro aqui apenas uma formalidade imposta pela Constituição e pela legislação eleitoral brasileiras.","305.2",NA
"Mais do que um simples ritual, esta solenidade, despojada de luxo como despojado de esperanças está o povo brasileiro, representa a reafirmação","601.1",NA
"e os princípios ou decorrência dos quais a minha geração, em nome dos jovens que constituem a maioria do povo brasileiro, quer assumir o seu próprio destino e liderar o processo de mudanças sempre reclamadas,","305.2",NA
"mas permanentemente postergadas pelas oligarquias que há tantos anos dominam o poder neste País.","304",NA
"Reafirmo aqui os meus compromissos partidários, com o seu ideário, com os seus programas e com as suas plataformas, na medida em que continuarem a exprimir o interesse, o desejo e as aspirações do nosso povo.","305.2",NA
"Minha postura se baseia na crença de que não teremos uma democracia estável, sem sistema partidário forte e consolidado, em que o discurso corresponda à ação.","202.1",NA
"Foi esse desajustamento, sem dúvida, a causa do enfraquecimento das legendas e de seu distanciamento das aspirações populares.","202.1",NA
"O momento não é o da política partidária, mas sim o da política do Estado.","305.2",NA
"Por isso, digo que não venho para as promessas.","305.2",NA
"Venho» para a ação.","305.2",NA
"Cheguei à posição em que hoje me encontro, ao contrário do que apregoam os que me agridem e os que me injuriam, com mensagens claras, com projetos factíveis e ideais conhecidos.","305.2",NA
"Quero ser a voz dos oprimidos.","504",NA
"Dos desassistidos.","503",NA
"Dos espoliados e dos humildes que nunca tiveram voz nem vez no processo histórico brasileiro.","503",NA
"Não venho em nome dos que têm fome de. poder, mas sim em nome dos que têm sede de justiça!","601.1",NA
"Venho em nome da fé, como mandatário da Verdade e sob a inspiração da Liberdade com Justiça, para promover a prosperidade coletiva,","601.1",NA
"retomar o desenvolvimento,","410",NA
"restaurar a dignidade da vida pública,","304",NA
"assegurar a soberania nacional,","104",NA
"reformar as velhas estruturas e banir de vez os vícios da incompetência, da corrupção e das práticas espúrias que infelicitam o País, degradam a atividade política e envergonham a Nação.","304",NA
"II - Uma Sociedade Fraterna e Solidária","H",NA
"Tenho a certeza de que, correspodendo ao que de mim espera o povo brasileiro, serei a voz dos inconformados, porque dentro de mim ferve de indignação a ira dos justos contra a miséria em que vive a maioria de uma população pobre, dentro de um território rico, ante a indiferencia de alguns, o conformismo de muitos e a aceitação passiva de quase todos.","503",NA
"Esta, seguramente, não é a sociedade de nossos sonhos.","503",NA
"Para torná-la mais justa e fazê-la mais digna, como á queremos, teremos que superar o egoísmo, vencer os preconceitos e sepultar o ódio, porque só assim poderemos, em nome da justiça e sob o império da Lei, instaurar uma sociedade fundada na fraternidade coletiva de todas as classes e na solidariedade de todos os homens.","606.1",NA
"Eleito Presidente da República, meu primeiro compromisso será o de declarar guerra de forma permanente, obstinada e sem tréguas, aos dois piores males que infelicitam a Nação, desvirtuam a cidadania e afrontam o nosso patriotismo: a inflação","414",NA
"e a corrupção, representada pela deterioração dos costumes, que grassa em todo o País, paralisado pela descrença ante a impunidade que protege os que fraudam o fisco, se apropriam do dinheiro público e especulam com o poder do Estado.","304",NA
"A probidade, a honradez pessoal, o equilíbrio, a serenidade, o devotamento às causas coletivas, a inteireza de caráter e a retidão moral no trato da coisa pública serão requisitos indispensáveis a todos os que participarem de meu Governo.","304",NA
"Serei inflexível com a impostura e intolerante com a desídia.","304",NA
"Proclamo solenemente que aqueles que trabalham e se devotam ao Serviço Público com eficiência e operosidade, não têm o que temer.","304",NA
"De mim, receberão sempre provas de apreço, reconhecimento e retribuição adequados.","304",NA
"Aos ociosos, aos que transacionam com o bem público, aos que se locupletam com o interesse nacional, no entanto, advirto que a eles não estão reservados apenas os rigores da lei, mas com igual intensidade o desprezo e a execração públicos.","304",NA
"O Governo deve se utilizar de todos os instrumentos legais e de todas as formas legítimas para acabar com a impunidade, penalizar os culpados de delitos contra o Erário e a fé públicos, exigindo ao mesmo tempo um padrão de conduta moral irrepreensível de todos quantos venham a desempenhar funções de governo, do mais qualificado ao mais humilde dos servidores do Estado.","304",NA
"Sem ética, sem moral exigente, a sociedade civil se desintegra e desmorona nos desmandos dos governantes.","603",NA
"George Washington, no seu discurso de despedida, lembrou que ""A religião e a moral são os suportes indispensáveis para a prosperidade política.","603",NA
"Não deixarei de apurar nenhuma denúncia que chegue ao meu conhecimento","304",NA
"e conto que a vigilancia da Imprensa livre, que temos, há de ser um fator decisivo para que tenhamos um novo padrão de respeito e desempenho moral na vida pública brasileira.","201.2",NA
"Para atingi-lo a Administração Federal será submetida, de forma permanente, ao livre questionamento da Sociedade brasileira","202.1",NA
"e a um sistema de auditagem que previna os erros, os abusos e os desvios que se tornaram usuais nos últimos tempos.","303",NA
"IV - Uma Economia Próspera e sem Inflação","H",NA
"A guerra contra a inflação não é apenas um princípio de governo.","414",NA
"É um compromisso da minha geração.","304",NA
"Ternos que empreender e sustentar com espírito de luta, com a noção do sacrifício inevitável nos momentos amargos e com a convicção dos determinados, um combate tenaz contra a inflação, tarefa prioritária de qualquer governo.","606.1",NA
"A inflação que corrói os salários, avilta a moeda e gera descrença nas instituições, é incompatível com a estabilidade democrática e a prosperidade econômica.","414",NA
"Nosso objetivo paralelo à recuperação da confiança na moeda será o de estimular a competição,","403",NA
"ampliar o mercado interno e melhorar, significativamente, o poder aquisitivo da população brasileira.","409",NA
"Este compromisso passa obrigatoriamente pelo saneamento financeiro do Estado.","414",NA
"Passa pelo equacionamento da dívida externa, pelo resgate dos compromissos, relativos à dívida interna e pela associação com investidores para a construção da prosperidade, tarefa em que estaremos permanentemente empenhados.","414",NA
"Os desafios dos próximos anos incluem o enfrentamento da crise energética, de transportes e telecomunicações.","411",NA
"Estas áreas, vitais para o crescimento, estão com seus planos de expansão comprometidos, meio dà crise fi nanceira do setor público e da política econômica adotada na última década.","411",NA
