Major Topic,Minor Topic,Code,Description
Macroeconomics,General,100,Includes issues related to general domestic macroeconomic policy.
Macroeconomics,Interest Rates,101,"Includes issues related to inflation, cost of living, prices, and interest rates"
Macroeconomics,Unemployment Rate,103,"Includes issues related to the unemployment rate, impact of unemployment"
Macroeconomics,Monetary Policy,104,"Includes issues related to the monetary policy, central bank, and the treasury"
Macroeconomics,National Budget,105,"Issues related to public debt, budgeting, and efforts to reduce deficits"
Macroeconomics,Tax Code,107,"Includes issues related to tax policy, the impact of taxes, and tax enforcement"
Macroeconomics,Industrial Policy,108,"Includes issues related to manufacturing policy, industrial revitalization and growth"
Macroeconomics,Price Control,110,"Includes issues related to wage or price control, emergency price controls"
Macroeconomics,Other,199,Includes issues related to other macroeconomics subtopics
Civil Rights,General,200,Includes issues related generally to civil rights and minority rights
Civil Rights,Minority Discrimination,201,"Includes issues related to minority, ethnic, and racial group discrimination"
Civil Rights,Gender Discrimination,202,"Includes issues related to sex, gender, and sexual orientation discrimination"
Civil Rights,Age Discrimination,204,"Includes issues related to age discrimination, including mandatory retirement age policies"
Civil Rights,Handicap Discrimination,205,Includes issues related to handcap and disease discrimination
Civil Rights,Voting Rights,206,"Includes issues related to voting rights, expanding or contracting the franchise, participation and related issues"
Civil Rights,Freedom of Speech,207,"Issues related to freedom of speech, religious freedoms, and other types of freedom of expression"
Civil Rights,Right to Privacy,208,"Includes issues related to privacy rights, including privacy of records, access to government information, and abortion rights"
Civil Rights,Anti-Government,209,"Includes issues related to anti-government activity groups, such as the communist party and local insurgency groups"
Civil Rights,Other,299,Includes issues related to other civil rights subtopics
Health,General,300,"Includes issues related generally to health care, including appropriations for general health care government agencies"
Health,Health Care Reform,301,"Includes issues related to broad, comprehensive changes in the health care system"
Health,Insurance,302,"Includes issues related to health insurance reform, regulation, availability, and cost"
Health,Drug Industry,321,"Includes issues related to the regulation and promotion of pharaceuticals, medical devices, and clinical labs"
Health,Medical Facilities,322,"Issues related to facilities construction, regulaton and payments, including waitlists and ambulance services"
Health,Insurance Providers,323,"Includes issues related to provider and insurer payments and regulation, including other types of benefits or multple benefits"
Health,Medical Liability,324,"Includes issues related to medical liability, malpractice issues, medical fraud and abuse, and unfair practices"
Health,Manpower,325,"Issues related to the supply and quantity of labor in the health care industry, training and licensing"
Health,Disease Prevention,331,"Issues related to disease prevention, treatment, and health promotion, including specific diseases not covered in other subtopics"
Health,Infants and Children,332,"Includes issues related to infants and children, including coverage and quality of care, health promotion, and school health programs"
Health,Mental,333,Includes issues related to mental health care and mental health disease
Health,Long-term Care,334,"Includes issues related to long term care, home health care, the terminally ill, and rehabilitation services"
Health,Drug Coverage and Cost,335,"Includes issues related to prescription drug coverage, programs to pay for prescription drugs, and policy to reduce the cost of prescription drugs"
Health,Tobacco Abuse,341,"Includes issues related to tobacco abuse, treatment, education, and health effects"
Health,Drug and Alcohol Abuse,342,"Includes issues related to alcohol and illegal drug abuse, treatment, education, and health effects"
Health,Research and Development,398,Includes issues related to health care research and development
Health,Other,399,Includes issues related to other health care topics
Agriculture,General,400,"Includes issues related to general agriculture policy, including appropriations for general agriculture government agencies"
Agriculture,Trade,401,Includes issues related to  the regulation and impact of agricultural foreign trade
Agriculture,Subsidies to Farmers,402,"Includes issues related to government subsidies to farmers and ranchers, including agricultural disaster insurance"
Agriculture,Food Inspection and Safety,403,"Includes issues related to food inspection and safety, including seafood, and labeling requirements"
