CAP,1 CODE,1 NAME,1 CORR,2 CODE,2 NAME,2 CORR,3 CODE,3 NAME,3 CORR,4 CODE,4 NAME,4 CORR,5 CODE,5 NAME,5 CORR
100,404,Economic Planning,0.9225910982631552,000,No meaningful category applies,1.1117141348533097,109,Internationalism: Negative,1.1163361152310454,414,Economic Orthodoxy,1.1490534083911947,305,Political Authority,1.1615508527307674
101,403,Market Regulation,1.1981190599191243,409,Keynesian Demand Management,1.2020553726332843,706,Non-economic Demographic Groups,1.2096450985624927,414,Economic Orthodoxy,1.2100197523121354,416,Anti-Growth Economy: Positive,1.2107008958133183
103,404,Economic Planning,1.1665222366422419,412,Controlled Economy,1.1832039895652138,416,Anti-Growth Economy: Positive,1.2011023768606544,414,Economic Orthodoxy,1.2016783083291573,408,Economic Goals,1.2061663484399667
104,404,Economic Planning,0.9262810470852167,414,Economic Orthodoxy,1.1351724878609835,109,Internationalism: Negative,1.1510179344310836,203,Constitutionalism: Positive,1.1609371990936277,301,Federalism,1.1734355777298855
105,110,European Community/Union: Negative,1.122139784325459,606,Civic Mindedness: Positive,1.1286402131458009,411,Technology and Infrastructure,1.1295921188667806,409,Keynesian Demand Management,1.1319194757468936,602,National Way of Life: Negative,1.1326558848712305
107,605,Law and Order: Positive,1.046994443100862,402,Incentives,1.0754076517053919,404,Economic Planning,1.0822936470322346,608,Multiculturalism: Negative,1.1646025994403884,203,Constitutionalism: Positive,1.1705718686969173
108,404,Economic Planning,0.9267597277038492,416,Anti-Growth Economy: Positive,1.0473951000944897,410,Economic Growth: Positive,1.0601313484318196,414,Economic Orthodoxy,1.14973645596283,109,Internationalism: Negative,1.168804270726694
110,412,Controlled Economy,0.9314520106402572,402,Incentives,1.1545490179589926,401,Free Market Economy,1.1846040217581335,403,Market Regulation,1.192390242508853,406,Protectionism: Positive,1.226324668318661
199,404,Economic Planning,1.2123903502340256,408,Economic Goals,1.224642595033078,703,Agriculture and Farmers: Positive,1.2401368052096295,302,Centralisation,1.2675483325665085,414,Economic Orthodoxy,1.2760642965135505
200,201,Freedom and Human Rights,1.1572793366402812,705,Underprivileged Minority Groups,1.1813119850083058,303,Governmental and Administrative Efficiency,1.1934701803661865,606,Civic Mindedness: Positive,1.246069903904129,204,Constitutionalism: Negative,1.248334862502887
201,503,Equality: Positive,1.1040941927892616,705,Underprivileged Minority Groups,1.145687713966532,201,Freedom and Human Rights,1.1840331954214833,303,Governmental and Administrative Efficiency,1.1863055051484956,607,Multiculturalism: Positive,1.2079091219042626
202,503,Equality: Positive,1.0831793973774144,201,Freedom and Human Rights,1.1823453881520605,303,Governmental and Administrative Efficiency,1.1964485569482173,606,Civic Mindedness: Positive,1.2226726046974947,607,Multiculturalism: Positive,1.2337573893651226
204,503,Equality: Positive,1.144074033160189,303,Governmental and Administrative Efficiency,1.1774341080859605,706,Non-economic Demographic Groups,1.1962702871934066,201,Freedom and Human Rights,1.2062136373801047,204,Constitutionalism: Negative,1.217170176934239
205,503,Equality: Positive,1.1507557988424284,201,Freedom and Human Rights,1.1904360743168279,303,Governmental and Administrative Efficiency,1.1946869914467706,606,Civic Mindedness: Positive,1.2414134246747568,705,Underprivileged Minority Groups,1.2554258465494343
206,201,Freedom and Human Rights,1.1548516742749382,108,European Community/Union: Positive,1.1602786269405394,303,Governmental and Administrative Efficiency,1.1691535829459474,202,Democracy,1.2180109008403097,506,Education Expansion,1.2246336433682095
207,201,Freedom and Human Rights,0.7938998638378584,203,Constitutionalism: Positive,1.0721953660292982,202,Democracy,1.1046842673105206,204,Constitutionalism: Negative,1.1056066666137967,603,Traditional Morality: Positive,1.11580811458711
208,201,Freedom and Human Rights,1.097956433105853,303,Governmental and Administrative Efficiency,1.0987020170268764,413,Nationalisation,1.1459150551895885,604,Traditional Morality: Negative,1.1754884500876626,305,Political Authority,1.1803005209766773
209,415,Marxist Analysis: Positive,1.0281378153634912,303,Governmental and Administrative Efficiency,1.1538303131583796,301,Federalism,1.1554608658003562,201,Freedom and Human Rights,1.1767273634714888,202,Democracy,1.1978189989860706
299,201,Freedom and Human Rights,1.1583459589687235,303,Governmental and Administrative Efficiency,1.1931269074192112,204,Constitutionalism: Negative,1.2348355454275428,203,Constitutionalism: Positive,1.2358655177653401,606,Civic Mindedness: Positive,1.2449130527612358
300,504,Welfare State Expansion,0.9889809665050665,505,Welfare State Limitation,1.0365675685639453,305,Political Authority,1.090306503602043,303,Governmental and Administrative Efficiency,1.122867713352969,413,Nationalisation,1.1261477927621202
301,504,Welfare State Expansion,0.9821419926243796,505,Welfare State Limitation,1.0666537223139871,408,Economic Goals,1.13526380738656,302,Centralisation,1.1412443037575877,506,Education Expansion,1.15272249831197
302,504,Welfare State Expansion,1.1561985964686425,507,Education Limitation,1.1748234498545753,506,Education Expansion,1.1830854143366822,403,Market Regulation,1.1891727477662142,505,Welfare State Limitation,1.1976415626808135
321,411,Technology and Infrastructure,1.1367164802117828,403,Market Regulation,1.1815430843406787,504,Welfare State Expansion,1.1868833884838752,704,Middle Class and Professional Groups,1.199637994199481,505,Welfare State Limitation,1.22316243478201
322,504,Welfare State Expansion,1.1359035031477822,507,Education Limitation,1.2083098182742071,506,Education Expansion,1.2085629539244003,303,Governmental and Administrative Efficiency,1.2108964294884443,411,Technology and Infrastructure,1.2119330938072164
323,504,Welfare State Expansion,1.1887996189757575,403,Market Regulation,1.1945325169318932,505,Welfare State Limitation,1.219541290898368,408,Economic Goals,1.2209359050494073,506,Education Expansion,1.2217862858380726
324,504,Welfare State Expansion,1.1664185678430345,505,Welfare State Limitation,1.213538708010708,503,Equality: Positive,1.2150889217082896,506,Education Expansion,1.2276038322795007,304,Political Corruption,1.2366625403086977
325,504,Welfare State Expansion,1.037264849294572,411,Technology and Infrastructure,1.0705573611084234,505,Welfare State Limitation,1.0855123497762176,402,Incentives,1.1367786896125007,507,Education Limitation,1.1690654777575398
331,703,Agriculture and Farmers: Positive,1.1123974215863046,408,Economic Goals,1.1507546032328655,504,Welfare State Expansion,1.1811666080477576,204,Constitutionalism: Negative,1.1862110045495406,503,Equality: Positive,1.1871363044239323
332,504,Welfare State Expansion,0.9970388473642109,505,Welfare State Limitation,1.0572312724634525,507,Education Limitation,1.0961865127697887,506,Education Expansion,1.1001600597804948,503,Equality: Positive,1.1624830606329064
333,504,Welfare State Expansion,1.0200084904840143,505,Welfare State Limitation,1.077649445391145,506,Education Expansion,1.206581965347881,507,Education Limitation,1.2245694928422126,502,Culture: Positive,1.2409141941696735
