CAP,1 CODE,1 NAME,1 CORR,2 CODE,2 NAME,2 CORR,3 CODE,3 NAME,3 CORR,4 CODE,4 NAME,4 CORR,5 CODE,5 NAME,5 CORR
100,404,Economic Planning,0.9921064418998045,109,Internationalism: Negative,1.1172641717851595,305,Political Authority,1.135578818742025,203,Constitutionalism: Positive,1.143273203895464,108,European Community/Union: Positive,1.1444516202579977
101,706,Non-economic Demographic Groups,1.2026016824654668,414,Economic Orthodoxy,1.2143149922869418,403,Market Regulation,1.224400405405267,606,Civic Mindedness: Positive,1.2250247047305276,412,Controlled Economy,1.2267496674836753
103,412,Controlled Economy,1.192173665486845,701,Labour Groups: Positive,1.2087320504158736,404,Economic Planning,1.221490213966987,409,Keynesian Demand Management,1.2257853046025708,414,Economic Orthodoxy,1.236686496225805
104,404,Economic Planning,1.0291599480940175,414,Economic Orthodoxy,1.1454071143696132,203,Constitutionalism: Positive,1.1619305027533393,109,Internationalism: Negative,1.163919331579602,301,Federalism,1.186862086369503
105,409,Keynesian Demand Management,1.1086587353814785,502,Culture: Positive,1.1464061858378978,504,Welfare State Expansion,1.158147863696755,411,Technology and Infrastructure,1.1862399430605006,304,Political Corruption,1.188616070987571
107,404,Economic Planning,1.0456252983050334,608,Multiculturalism: Negative,1.1065686377552137,203,Constitutionalism: Positive,1.1573119425805212,605,Law and Order: Positive,1.1582852944470792,402,Incentives,1.1632025774743955
108,404,Economic Planning,1.043623865102377,410,Economic Growth: Positive,1.11473806790104,416,Anti-Growth Economy: Positive,1.1184283126960042,203,Constitutionalism: Positive,1.163939470812265,414,Economic Orthodoxy,1.1709502576737412
110,412,Controlled Economy,0.9919946936396674,402,Incentives,1.1558296691243535,401,Free Market Economy,1.1934706349581665,701,Labour Groups: Positive,1.2161308709004066,201,Freedom and Human Rights,1.231199331222141
199,404,Economic Planning,1.2607068260836956,703,Agriculture and Farmers: Positive,1.2651615686990363,408,Economic Goals,1.2695701508608013,301,Federalism,1.2820499326428896,203,Constitutionalism: Positive,1.2843003928762153
200,201,Freedom and Human Rights,1.1863076822873966,303,Governmental and Administrative Efficiency,1.2286554994244634,606,Civic Mindedness: Positive,1.240286554380315,607,Multiculturalism: Positive,1.2429886994522898,503,Equality: Positive,1.2511171084491506
201,503,Equality: Positive,1.12792706342999,607,Multiculturalism: Positive,1.2072782542064437,608,Multiculturalism: Negative,1.210903589122575,302,Centralisation,1.234470204938984,602,National Way of Life: Negative,1.2402941862116932
202,503,Equality: Positive,1.1149243925352297,604,Traditional Morality: Negative,1.2398683413325537,607,Multiculturalism: Positive,1.248699310489112,603,Traditional Morality: Positive,1.250614556981518,608,Multiculturalism: Negative,1.2581833129291935
204,503,Equality: Positive,1.1940903266995275,706,Non-economic Demographic Groups,1.1963318471024933,408,Economic Goals,1.216696348812985,204,Constitutionalism: Negative,1.2281599387633588,701,Labour Groups: Positive,1.2323691900212352
205,503,Equality: Positive,1.2066330710873547,608,Multiculturalism: Negative,1.2872680886667314,603,Traditional Morality: Positive,1.2894279057895999,607,Multiculturalism: Positive,1.2929393839301075,416,Anti-Growth Economy: Positive,1.299423697238923
206,108,European Community/Union: Positive,1.1314645402107242,506,Education Expansion,1.2017813185850144,507,Education Limitation,1.2244629799619438,304,Political Corruption,1.22558056382934,406,Protectionism: Positive,1.2270121935765654
207,201,Freedom and Human Rights,1.0790443404941363,607,Multiculturalism: Positive,1.1366374847674163,604,Traditional Morality: Negative,1.1406267620837747,603,Traditional Morality: Positive,1.1429375859183322,109,Internationalism: Negative,1.2034801732529434
208,413,Nationalisation,1.1174923928809226,604,Traditional Morality: Negative,1.1532015267491669,405,Corporatism/ Mixed Economy,1.169931243155566,412,Controlled Economy,1.172159312239674,305,Political Authority,1.1724779528309586
209,415,Marxist Analysis: Positive,0.9776287515095793,301,Federalism,1.2063816574019377,602,National Way of Life: Negative,1.2160432425525785,103,Anti-Imperialism,1.2215081996782746,109,Internationalism: Negative,1.225602947650772
299,201,Freedom and Human Rights,1.1849845032427715,303,Governmental and Administrative Efficiency,1.230710649325492,606,Civic Mindedness: Positive,1.2383301271316312,204,Constitutionalism: Negative,1.2594790896228951,607,Multiculturalism: Positive,1.2599104325601065
300,305,Political Authority,1.02711778383147,504,Welfare State Expansion,1.0530428006107024,505,Welfare State Limitation,1.0732427378019107,405,Corporatism/ Mixed Economy,1.1184894868317063,404,Economic Planning,1.1200684634212155
301,504,Welfare State Expansion,1.0532214627733938,505,Welfare State Limitation,1.1061234047027606,408,Economic Goals,1.1133998175152755,506,Education Expansion,1.1835415860485063,414,Economic Orthodoxy,1.1909644161758308
302,504,Welfare State Expansion,1.1650952880246517,507,Education Limitation,1.1986309784822367,412,Controlled Economy,1.2059282450879087,401,Free Market Economy,1.2261540560314215,303,Governmental and Administrative Efficiency,1.2288986875391745
321,411,Technology and Infrastructure,1.2563653739662708,507,Education Limitation,1.2582214745705886,506,Education Expansion,1.266930475359757,504,Welfare State Expansion,1.2670991800296054,505,Welfare State Limitation,1.2675606680843936
322,504,Welfare State Expansion,1.2057844432109779,507,Education Limitation,1.2190449553434681,303,Governmental and Administrative Efficiency,1.2350158139223624,413,Nationalisation,1.2470800185816704,704,Middle Class and Professional Groups,1.2470826057074236
323,408,Economic Goals,1.215813037261203,703,Agriculture and Farmers: Positive,1.2283352509912933,505,Welfare State Limitation,1.2377363169087618,414,Economic Orthodoxy,1.243522500617708,204,Constitutionalism: Negative,1.2481424566838266
324,504,Welfare State Expansion,1.2254215705602034,503,Equality: Positive,1.2363353116517755,505,Welfare State Limitation,1.2421432870253557,304,Political Corruption,1.2422551617765416,603,Traditional Morality: Positive,1.2469414391115434
325,504,Welfare State Expansion,1.0758078093781425,411,Technology and Infrastructure,1.0868065062812584,505,Welfare State Limitation,1.0985584274595082,402,Incentives,1.126540426740552,704,Middle Class and Professional Groups,1.147698886050862
331,703,Agriculture and Farmers: Positive,1.0905549402035242,408,Economic Goals,1.1196524104103924,204,Constitutionalism: Negative,1.1466786119975565,107,Internationalism: Positive,1.1617230779422523,415,Marxist Analysis: Positive,1.1717721180107812
332,504,Welfare State Expansion,1.0310997386581902,505,Welfare State Limitation,1.1444075760574508,706,Non-economic Demographic Groups,1.2085666293258206,507,Education Limitation,1.2121821881056438,503,Equality: Positive,1.2160108771282463
333,504,Welfare State Expansion,1.0775348061001522,505,Welfare State Limitation,1.1225898157707694,411,Technology and Infrastructure,1.257134773635682,503,Equality: Positive,1.2595126589794055,409,Keynesian Demand Management,1.2602067944487598
334,504,Welfare State Expansion,1.0543327853186235,505,Welfare State Limitation,1.1156389161216471,411,Technology and Infrastructure,1.2362004138479996,303,Governmental and Administrative Efficiency,1.236970924201563,402,Incentives,1.245421082224931
335,414,Economic Orthodoxy,1.206163696310728,109,Internationalism: Negative,1.2099264286930596,203,Constitutionalism: Positive,1.2127019205114984,404,Economic Planning,1.212748259685148,409,Keynesian Demand Management,1.2366322967577807
341,507,Education Limitation,1.117719214872129,504,Welfare State Expansion,1.1602035977508722,503,Equality: Positive,1.1697828758627227,411,Technology and Infrastructure,1.184790244543078,506,Education Expansion,1.2305326363497004
342,507,Education Limitation,1.141497307043785,504,Welfare State Expansion,1.167297713829368,503,Equality: Positive,1.1682852276270113,411,Technology and Infrastructure,1.2045320740003584,603,Traditional Morality: Positive,1.243249985799141
398,504,Welfare State Expansion,1.0633713606404962,505,Welfare State Limitation,1.1095284341409206,416,Anti-Growth Economy: Positive,1.144522455198142,411,Technology and Infrastructure,1.145050158586656,507,Education Limitation,1.1692095120617632
399,504,Welfare State Expansion,1.066010455962187,505,Welfare State Limitation,1.1202902944984696,506,Education Expansion,1.2471773412857536,411,Technology and Infrastructure,1.2476445852908977,409,Keynesian Demand Management,1.26838865566607
400,404,Economic Planning,0.9721362770299147,305,Political Authority,1.0283201638306032,703,Agriculture and Farmers: Positive,1.0334975760996015,405,Corporatism/ Mixed Economy,1.0890074334736888,302,Centralisation,1.0981829383369535
