CAP,1 CODE,1 NAME,1 CORR,2 CODE,2 NAME,2 CORR,3 CODE,3 NAME,3 CORR,4 CODE,4 NAME,4 CORR,5 CODE,5 NAME,5 CORR
100,404,Economic Planning,0.9590680059889943,109,Internationalism: Negative,1.1196014184964376,305,Political Authority,1.1453718393109462,203,Constitutionalism: Positive,1.1591044082234863,301,Federalism,1.159207633671954
101,706,Non-economic Demographic Groups,1.2057957178852803,403,Market Regulation,1.214978151158457,409,Keynesian Demand Management,1.2190432702874037,414,Economic Orthodoxy,1.227363351094418,410,Economic Growth: Positive,1.2324233732444763
103,412,Controlled Economy,1.2188999612653098,409,Keynesian Demand Management,1.2234317681406028,404,Economic Planning,1.2237805424823578,414,Economic Orthodoxy,1.2251206080454664,701,Labour Groups: Positive,1.2276519195703595
104,404,Economic Planning,0.8759448060440563,414,Economic Orthodoxy,1.1393973250395788,109,Internationalism: Negative,1.1483641662737933,203,Constitutionalism: Positive,1.1537779140078668,301,Federalism,1.1877082807844477
105,110,European Community/Union: Negative,1.1072026442882568,602,National Way of Life: Negative,1.112229387747535,606,Civic Mindedness: Positive,1.1141831194506076,411,Technology and Infrastructure,1.1322804753370188,409,Keynesian Demand Management,1.1327491521633504
107,605,Law and Order: Positive,1.0173602940743567,402,Incentives,1.074507417783823,404,Economic Planning,1.0940904791378983,608,Multiculturalism: Negative,1.152142052802319,203,Constitutionalism: Positive,1.1577607746388439
108,404,Economic Planning,0.8940545550021983,416,Anti-Growth Economy: Positive,1.0360368266286595,410,Economic Growth: Positive,1.0455696211859737,203,Constitutionalism: Positive,1.1621281154375158,414,Economic Orthodoxy,1.1657965868619762
110,412,Controlled Economy,0.8674040783709287,402,Incentives,1.1644184872395746,401,Free Market Economy,1.2005516472268207,403,Market Regulation,1.2204177573325654,701,Labour Groups: Positive,1.2350354999326287
199,404,Economic Planning,1.2419602191324686,703,Agriculture and Farmers: Positive,1.2440387373494093,408,Economic Goals,1.255739965456424,302,Centralisation,1.2677847867642251,301,Federalism,1.282221541830351
200,201,Freedom and Human Rights,1.1596219385927737,303,Governmental and Administrative Efficiency,1.1662216965657208,606,Civic Mindedness: Positive,1.2410252544764517,503,Equality: Positive,1.250081556080745,607,Multiculturalism: Positive,1.2550290760199097
201,503,Equality: Positive,1.0964517393641384,608,Multiculturalism: Negative,1.2052584500658428,607,Multiculturalism: Positive,1.210295805197171,603,Traditional Morality: Positive,1.2350432600010524,302,Centralisation,1.2351913330585647
202,503,Equality: Positive,1.0774630640260916,608,Multiculturalism: Negative,1.2324556185981748,604,Traditional Morality: Negative,1.243885322210555,607,Multiculturalism: Positive,1.244251024885666,603,Traditional Morality: Positive,1.247295358760243
204,503,Equality: Positive,1.1506554947509406,706,Non-economic Demographic Groups,1.199461442744149,408,Economic Goals,1.2300196896193436,204,Constitutionalism: Negative,1.2380583997428334,701,Labour Groups: Positive,1.240985942070841
205,503,Equality: Positive,1.1618166376760632,705,Underprivileged Minority Groups,1.2797632631777376,608,Multiculturalism: Negative,1.2865552415406922,603,Traditional Morality: Positive,1.2869594710891807,607,Multiculturalism: Positive,1.2919427973308564
