Code,MAN
100,404
101,403
103,404
104,404
105,414
107,402
108,404
110,412
199,404
200,201
201,503
202,503
204,503
205,503
206,201
207,201
208,201
209,415
299,201
300,504
301,504
302,504
321,411
322,504
323,504
324,504
325,504
331,504
332,504
333,504
334,504
335,504
341,504
342,504
398,504
399,504
400,703
401,703
402,703
403,703
404,703
405,703
408,703
498,703
499,703
500,405
501,504
502,701
503,405
504,701
505,701
506,701
529,701
599,701
600,507
601,507
602,506
603,507
604,507
606,507
607,507
698,507
699,507
700,501
701,501
703,501
704,501
705,501
707,501
708,501
709,501
711,501
798,501
799,501
800,411
801,411
802,411
803,501
805,411
806,411
807,411
898,411
899,411
900,607
1000,411
1001,411
1002,411
1003,411
1005,411
1007,411
1010,411
1098,411
1099,411
1200,605
1201,605
1202,605
1203,605
1204,605
1205,605
1206,605
1207,605
1208,605
1210,605
1211,605
1227,605
1299,605
1300,505
1302,504
1303,504
1304,505
1305,505
1308,504
1399,505
1400,411
1401,411
1403,411
1404,411
1405,411
1406,504
1407,105
1408,504
1409,504
1498,411
1499,411
1500,404
1501,414
1502,403
1504,403
1505,403
1507,605
1520,403
1521,403
1522,401
1523,504
1524,403
1525,403
1526,502
1598,411
1599,404
1600,104
1602,107
1603,105
1604,104
1605,105
1606,105
1608,105
1610,104
1611,105
1612,104
1614,105
1615,605
1616,105
1617,105
1619,105
1620,105
1698,411
1699,104
1700,411
1701,411
1704,403
1705,411
1706,411
1707,411
1708,411
1709,411
1798,411
1799,411
1800,404
1802,109
1803,406
1804,401
1806,407
1807,407
1808,404
1899,109
1900,107
1901,107
1902,107
1905,107
1906,107
1910,110
1921,101
1925,107
1926,107
1927,107
1929,109
1999,107
2000,305
2001,303
2002,303
2003,303
2004,303
2005,303
2006,404
2007,303
2008,413
2009,303
2010,304
2011,303
2012,305
2013,303
2014,303
2015,303
2030,602
2099,302
2100,501
2101,502
2102,607
2103,501
2104,411
2105,301
2199,501
2300,502
