Text,Code
MANIFESTO DO BLOCO DE ESQUERDA,H
TEMPO DE SER EXIGENTE,H
O Bloco de Esquerda disputa as eleições legislativas de Outubro de 1999 com clareza de propósitos.,0
"Apresentamo-nos ao país com um Manifesto eleitoral e não com um ""Programa de governo"".",0
A escolha é propositada.,0
"Apresenta um ""programa de governo"" quem fixe como objectivo participar na governação dos próximos 4 anos ou se afirme como alternativa de governo.",0
"Como o Bloco não se encontra em nenhuma das duas situações, este documento deve ser lido como um Programa de Oposição.",0
O LUGAR DA NOVA ESQUERDA,H
"Não somos candidatos à governação, mas à renovação da oposição.",0
Três razões explicam este posicionamento:,0
A primeira é contingente e respeita à governação.,0
Os socialistas vão continuar no executivo durante os próximos quatro anos.,0
"Preferimos que governem com maioria relativa a que governem com maioria absoluta, mas essa não é a questão principal desta eleição.",0
"A questão fundamental é que, independentemente dos resultados, Portugal será governado por uma ""Grande Maioria"".",0
"Em 2003 abre-se novo período ordinário de revisão Constitucional onde as decisões relevantes se tomam por dois terços, o que significa que PS e PSD, em nome do ""regime"" trocarão políticas concretas, à semelhança do que, aliás, já fizeram nestes últimos quatro anos.",202
"Esta negociação terá, aliás, de começar bem antes: por ocasião da revisão da lei eleitoral, uma matéria onde também são indispensáveis os dois terços.",202
"O segundo partido, apesar de se pôr em bicos de pés contra ""o fartar vilanagem"" do PS, já anunciou a sua vontade de realizar ""pactos"" com o que classifica de ""regabofe socialista"".",202
"E nas últimas semanas o Largo do Rato vem insistindo na ideia de que há matérias - como a segurança social - que não deveriam ser objecto de disputa eleitoral, tal a sua importância para o país…",202
"A verdade é que os dois partidos centrais não apresentam entre si diferenças significativas de política, se têm entendido e vão continuar a entender sobre a generalidade das matérias em discussão e não existe, de momento, uma alternativa forte ao bloqueio político imposto pelo rotativismo.",202
A segunda é estratégica e respeita à alternativa.,202
"Se o Bloco procede a um balanço muito crítico do que tem sido a governação dos últimos anos, não retira daí que o país tenha só um problema de governo.",202
"De uma perspectiva de esquerda, o país tem, sobretudo, um sério problema de qualidade e força da oposição.",202
"Enquanto este for o elo fraco, a esquerda não estará em condições de se apresentar como alternativa de governo, a não ser que se queira enganar a si própria.",202
A terceira é metodológica e respeita ao exercício da política.,202
"A renovação da esquerda política - o propósito que levou à formação do Bloco - passa por um claro compromisso com as eleitoras e os eleitores sobre o lugar de onde partimos para responder à ""crise da política"" enquanto exercício do poder.",202
