"content","cmp_code","eu_code"
"PROGRAMA ELEITORAL DO PCP",NA,NA
"1. A SITUAÇÃO NACIONAL NO ACTUAL CONTEXTO COMUNITÁRIO E GLOBAL",NA,NA
"1.1. Portugal está confrontado, à entrada do 3º milénio, com uma situação contraditória e com dois rumos e duas políticas opostas.","109",NA
"Uma situação contraditória que resulta da necessidade de concretização de uma política de desenvolvimento nacional, definida segundo os interesses do País","109",NA
"e capaz de fazer frente aos seus problemas, se ver confrontada com a adopção obrigatória de ""políticas comuns"" da União Europeia ditadas por instâncias supranacionais e em que têm peso determinante os interesses dos países mais desenvolvidos e das multinacionais.","110",NA
"Quanto às duas linhas políticas que se opõem:","109",NA
"uma procura afirmar Portugal como Estado-nação em desenvolvimento numa União Europeia de povos e Estados soberanos e iguais em direitos, renovada e com um rumo económico, social e político, distinto das orientações neoliberais que têm sido dominantes;","110",NA
"a outra política, em sentido oposto, quer transformar Portugal progressivamente numa ""região europeia"" de um Estado europeu federal, parceiro menor de um bloco económico – político – militar mais ou menos dependente dos Estados Unidos da América (EUA).","103",NA
"Entre essas duas linhas situa-se ainda uma diversificada gama de variantes dependentes, no fundamental, da correlação de forças políticas, económicas e sociais, e dos caminhos que essa correlação impuser à evolução de Portugal e da União Europeia.","110",NA
"A política do PCP corresponde, claramente, à primeira das orientações políticas enunciadas.","109",NA
"Assumida, naturalmente, com a consciência da complexidade desta luta, face ao quadro exterior e com uma situação interna que à partida é também desfavorável.","109",NA
"Mas com a consciência, igualmente, da margem de manobra política e social que existe em Portugal e nos restantes países da União Europeia, e que está directamente ligada à mobilização e à intervenção dos trabalhadores e dos povos.","107",NA
"1.2. O contexto onde decorre o confronto entre estas linhas políticas, em Portugal como na União Europeia, é o da ""globalização"" capitalista, que seguindo as orientações neoliberais e num quadro de conflitos e de choques de interesses, está a ser concretizada sob o comando dos EUA.","103",NA
"É um complexo processo de domínio económico, social, político, comunicacional e cultural, onde predominam os vectores económicos, e em especial o da circulação de capitais, da internacionalização do comércio e da produção, dominado e dirigido pelos principais países da Tríade (EUA, União Europeia, Japão) agrupados no G7 e por duas centenas de transnacionais.","103",NA
"E articulado com o qual está a emergir um propósito de intervenção e de domínio militares à escala planetária, de que a recente agressão contra a Jugoslávia e as alterações introduzidas no conceito estratégico da NATO constituem as mais recentes e inquietantes manifestações.","105",NA
"A guerra económica entre pólos e empresas do capitalismo mundial, a extensão e aprofundamento do seu domínio, é acompanhada pelo agravamento da exploração dos trabalhadores, o crescimento do desemprego, das desigualdades económicas e sociais, da pobreza e da exclusão, quer nos próprios países da Tríade, quer no resto do mundo.","103",NA
"A competitividade, a rentabilidade financeira e o mercado estão erigidos como mecanismos económicos únicos e indiscutíveis de afectação óptima de recursos e de distribuição da riqueza produzida.","103",NA
"Neste quadro, o papel a desempenhar pela União Europeia é da máxima importância.","108",NA
"Uma União Europeia para fazer a guerra económica, participar nos conflitos e no crescimento das desigualdades, instrumento imperialista do grande capital europeu?","110",NA
"Ou — é esta a opção política do PCP — uma União Europeia com outro rumo, defensora do património social e civilizacional dos trabalhadores e dos povos da Europa, virada para a construção de uma Nova Ordem Económica e Política Internacional, assente na cooperação entre povos e países, soberanos e iguais em direitos, orientada pelos valores da paz, da democracia, do progresso social?","108",NA
