"text","cmp_code","eu_code"
"INTRODUÇÃO",NA,NA
"Vive-se um grande pessimismo em Portugal.","305",NA
"Em larga medida, este pessimismo deve-se à falta de um rumo, à gestão desastrada dos últimos três anos, às promessas não cumpridas e à instabilidade da governação.","305",NA
"Portugal precisa de um rumo.","305",NA
"Precisa de acreditar.","305",NA
"Para isso é urgente combinar políticas de dois tipos.","303",NA
"Políticas de curto prazo, destinadas a travar a situação que foi criada, em particular nas finanças públicas,","303",NA
"e a recuperar a confiança para recomeçar a retoma da economia.","414",NA
"E políticas estruturais, destinadas a recolocar a economia portuguesa numa trajectória sustentada de crescimento, modernização e progresso.","410",NA
"Quando PSD e PP chegaram ao Governo encontraram a economia","414",NA
"• a crescer a 3,4% ao ano em 2000 e a 1,6% em 2001;","414",NA
"• com uma taxa de desemprego de 4,2% em 2001;","305",NA
"• com o rendimento médio por habitante em 70,2% da média da UE-15;","305",NA
"• com a dívida pública em 56 % do PIB, abaixo do valor de referência do Pacto de Estabilidade e Crescimento;","414",NA
"• com um défice orçamental de 4,1% do PIB, apurado depois de uma rigorosa auditoria conduzida pelo Banco de Portugal;","414",NA
"• com o endividamento das famílias em 97% do rendimento disponível;","414",NA
"• com o IVA em 17%.","414",NA
"Hoje, os portugueses vivem numa economia","414",NA
"• parada há já três anos;","414",NA
"• com a taxa de desemprego em 6,8%, havendo mais de 15000 novos desempregados;","414",NA
"• com o rendimento médio por habitante em 67,7% da média da UE-15;","414",NA
"• com a dívida pública em 62% do PIB, ultrapassando o valor de referência do Pacto de Estabilidade e Crescimento;","414",NA
"• com o défice orçamental real em, pelo menos, 5,2% do PIB;","414",NA
"• com o endividamento das famílias em 118% do rendimento disponível;","414",NA
"• com o IVA em 19%.","414",NA
"Depois de um período em que Portugal convergiu rapidamente com os países mais avançados, o crescimento abrandou bruscamente e entrámos em divergência.","410",NA
"Fomos ultrapassados pela Grécia e por alguns dos novos membros da União Europeia - Malta, Chipre e a Eslovénia.","410",NA
"É urgente inverter esta tendência muito negativa.","410",NA
"É preciso dizer a verdade aos portugueses: a situação é muito difícil.","410",NA
"Temos de resolver problemas que exigem um grande esforço e que não têm uma solução imediata.","410",NA
"Portugal piorou a sua competitividade e a produtividade continua baixa.","410",NA
"O desemprego aumentou.","701",NA
"Só tem sido possível cumprir formalmente os critérios do Pacto de Estabilidade e Crescimento através de sucessivas operações de desorçamentação, da acumulação de atrasados e de “operações extraordinárias” que normalmente se traduzem na venda de valiosos activos do Estado, muitas vezes sem critério ou com pesados custos para orçamentos futuros.","410",NA
"Sabemos todos, perfeitamente, que uma grande parte das dificuldades actuais se deve à forma desastrada como o País foi conduzido nos últimos três anos","305",NA
"e à falta de credibilidade","305",NA
"e estabilidade na governação.","305",NA
"Nunca houve um rumo.","305",NA
"Não foi dita a verdade sobre a situação das contas públicas.","305",NA
"Problemas estruturais graves, no ensino,","303",NA
"na justiça,","303",NA
"na investigação e em outras áreas chave para o nosso futuro, foram deixados sem resposta.","303",NA
"Temos de voltar a crescer.","410",NA
"É necessário um rumo e estabilidade para executar as políticas que são essenciais para o País retomar uma trajectória de progresso.","410",NA
"A coligação PSD/PP formou-se proclamando ir resolver os principais problemas do país.","305",NA
"A verdade é que os agravou.","305",NA
"O PS quer mobilizar os portugueses para um novo desígnio nacional.","410",NA
"Um desígnio que mobilize o melhor de nós para que Portugal se volte a aproximar de forma decidida e sustentada do nível de desenvolvimento dos países mais avançados da União Europeia.","410",NA
"Para atingir esse desígnio, propomos seguir cinco grandes eixos:","410",NA
"• Retomar o crescimento da economia de forma sustentada e visando a modernização do País,","410",NA
"fazendo do conhecimento, da inovação, da qualificação dos portugueses","411",NA
"e da melhoria dos serviços do Estado os caminhos do progresso;","303",NA
"• Reforçar a coesão nacional, numa sociedade com menos pobreza e com mais igualdade de oportunidades,","503",NA
"onde os instrumentos de coesão sejam também ferramentas para o crescimento e a modernização;","503",NA
"• Melhorar a qualidade de vida dos portugueses num quadro sustentável de desenvolvimento,","416",NA
"onde a qualidade ambiental,","501",NA
"a defesa dos consumidores,","403",NA
"a melhoria dos indicadores de bem-estar seja uma realidade e onde a organização e coesão territorial seja, ela também, um factor de progresso do País;","503",NA
"• Elevar a qualidade da nossa democracia,","202",NA
"reforçando a credibilidade do Estado e do sistema político","303",NA
"e fazendo dos sistemas de justiça e de segurança instrumentos ao serviço de uma plena cidadania;","303",NA
"• Valorizar o posicionamento do País no quadro internacional,","107",NA
"quer no plano prioritário da União Europeia,","108",NA
"quer no plano global, relançando a cooperação externa,","107",NA
"valorizando a cultura e a língua portuguesa no mundo","601",NA
"e construindo uma política de defesa adequada à nossa inserção na comunidade internacional.","104",NA
"A primeira prioridade do PS é, portanto, construir uma estratégia de desenvolvimento e de modernização do País,","411",NA
"de crescimento da economia,","410",NA
"de regresso da confiança e da esperança,","410",NA
"com base numa aposta muito forte no conhecimento, na tecnologia, na inovação e na qualificação dos portugueses.","411",NA
"Trata-se de conciliar uma resposta aos problemas do abrandamento económico, da estagnação, com uma resposta aos problemas que estão na base do nosso atraso estrutural.","411",NA
"Estas respostas exigem mais investimento, mais qualidade na acção do Estado e, antes do mais, uma recuperação sólida, mas ambiciosa, de um capital que se degradou de forma dramática nos últimos anos:","410",NA
"o da confiança dos portugueses em Portugal.","410",NA
"Para o PS as questões da macroeconomia não são tudo:","503",NA
"para nós, a dimensão das desigualdades e a intensidade da pobreza são problemas a recolocar na agenda política.","503",NA
"Entre os países da União Europeia a quinze, Portugal é aquele em que a desigualdade de rendimentos é maior.","503",NA
"Mas é também um dos países onde o desemprego mais rapidamente cresceu","701",NA
"e onde os níveis de ensino e qualificação são mais insuficientes.","506",NA
"É para agir na correcção destes problemas estruturais que o PS desenvolverá, no Governo, um amplo conjunto de políticas sociais que são mais do que políticas de coesão social,","410",NA
"são igualmente passos imprescindíveis para nos tornarmos um País mais competitivo.","410",NA
"A Agenda económica e social do PS está associada, igualmente, a um objectivo central de toda a acção política: /melhorar, de forma sustentada, a qualidade de vida dos portugueses.","503",NA
"Essa qualidade de vida obriga a novas opções na organização do território, exige a valorização do todo nacional, no Continente e nas Regiões Autónomas,","416",NA
"e implica que se assuma uma gestão estrategicamente responsável dos nossos recursos.","416",NA
"O compromisso com a coesão é um compromisso social, mas é, também, um compromisso territorial e um compromisso entre gerações.","416",NA
"É por isso que, em todo o programa do PS, o desenvolvimento sustentável é uma preocupação central.","416",NA
"A capacidade de recuperar a confiança e a esperança no futuro está associada, de forma estreita, ao reconhecimento pelos cidadãos da capacidade das instituições da República cumprirem as suas funções.","303",NA
"Esta é, também, uma área central do programa do PS.","303",NA
"Recuperar níveis elevados de credibilidade do sistema político implica reformas na sua estruturação, mas, também, no modo de agir.","303",NA
"Fundamental é, também, investir decididamente na melhoria em sistemas que garantem a estabilidade social e a confiança na sua regulação, como são as áreas da Justiça ou da Segurança.","303",NA
"Reforçar a autoridade das instituições","303",NA
"e reforçar a cidadania são objectivos não apenas conciliáveis, mas objectivos que se apoiam e completam mutuamente.","202",NA
"Finalmente, o PS dedica uma grande importância à posição de Portugal no Mundo.","108",NA
"É essencial que o nosso País reforce a sua capacidade de ser parte activa no futuro da União Europeia, agora que tantos dossiers decisivos estão em discussão:","108",NA
"o novo Quadro Comunitário de Apoio 2007-2013,","108",NA
"a ratificação do Tratado Constitucional,","108",NA
"a Agenda de Lisboa e a revisão do Pacto de Estabilidade e Crescimento.","108",NA
"O PS mantém-se fiel à sua postura histórica, que complementa a prioridade europeia com uma visão alargada do nosso papel universal,","108",NA
"seja na comunidade linguística a que pertencemos,","101",NA
"seja no quadro de alianças estratégicas de que fazemos parte, seja, finalmente, no quadro de uma valorização da regulação multilateral das encruzilhadas do Mundo de hoje, a qual continua a ter na Carta das Nações Unidas o seu referencial central.","107",NA
"Portugal precisa de um rumo para ultrapassar o período de instabilidade política,","303",NA
"estagnação económica","410",NA
"e degradação social que marcou os últimos três anos.","503",NA
"O PS propõe um novo rumo para Portugal.","305",NA
"Mas o nosso País precisa, também, de estabilidade governativa, que só um programa firme de rigor e ambição lhe pode oferecer.","406",NA
"O PS assume esse programa:","404",NA
"um programa de crescimento,","410",NA
"de inovação,","411",NA
"de emprego.","701",NA
"Um programa que exige uma liderança credível, assente numa maioria estável, que possa garantir um Governo para quatro anos.","305",NA
"Só o PS reúne as condições para oferecer ao País um rumo certo, um programa de esperança, um governo de estabilidade.","305",NA
"CAPÍTULO I",NA,NA
"UMA ESTRATÉGIA DE CRESCIMENTO PARA A PRÓXIMA DÉCADA",NA,NA
"I. Voltar a acreditar",NA,NA
"1. Uma estratégia mobilizadora para mudar Portugal",NA,NA
"Portugal enfrenta hoje, no contexto da globalização e do alargamento da União Europeia, importantes desafios.","410",NA
"A economia depara-se com incontornáveis exigências para aproveitar com sucesso as novas oportunidades.","410",NA
"Três anos de Governo PSD/PP mostraram a completa incapacidade para enfrentar positivamente esta situação.","305",NA
"O País não foi só mal governado, foi totalmente deixado à deriva.","305",NA
"Portugal precisa de um rumo.","305",NA
"E é esse rumo que o PS propõe aos portugueses.","305",NA
"A agenda que propomos para retomar o crescimento da nossa economia, de modo a integrá-la na sociedade do conhecimento, consiste em:","410",NA
"• Recuperar a confiança e mobilizar a capacidade dos portugueses para enfrentar dificuldades e rasgar novas fronteiras;","410",NA
"• Lançar um ambicioso Plano Tecnológico,","411",NA
"convocando o País para a sociedade da informação,","411",NA
"para a inovação,","411",NA
"para a ciência e a tecnologia,","411",NA
"e para a qualificação dos recursos humanos;","411",NA
"• Promover a eficiência do investimento e das empresas,","402",NA
"apoiando o desenvolvimento empresarial,","402",NA
"promovendo novas áreas de criação de emprego,","402",NA
"desburocratizando e criando um bom ambiente de negócios,","402",NA
"estimulando a concorrência,","403",NA
"garantindo a regulação","403",NA
"e melhorando a governação societária;","303",NA
"• Consolidar as finanças públicas;","303",NA
"• Modernizar a Administração Pública,","303",NA
"para facilitar a vida aos cidadãos e às empresas","303",NA
"e para adequá-la aos objectivos do crescimento.","303",NA
"A agenda económica do PS tem como objectivo aumentar, de forma sustentada, o crescimento potencial da nossa economia para 3%, durante a próxima legislatura.","410",NA
"Só com o crescimento da economia poderemos resolver o problema do desemprego","701",NA
"e combater as desigualdades sociais.","503",NA
"Portugal deve ter como objectivo recuperar, nos próximos quatro anos, os cerca de 150.000 postos de trabalho perdidos na última legislatura.","701",NA
"Recuperar a confiança exige uma proposta com credibilidade.","404",NA
"A proposta do PS alia o rigor orçamental com o crescimento, através da fixação de objectivos de médio prazo destinados a ultrapassar os nossos problemas estruturais.","404",NA
"É, também, um compromisso de estabilidade.","404",NA
"Não se trata de fazer “tábua-rasa” de tudo o que foi feito anteriormente.","410",NA
"As políticas não podem estar sistematicamente a mudar ao sabor da conjuntura.","410",NA
"Recuperar a confiança exige, igualmente, apresentar soluções e não passar o tempo a criticar os Governos anteriores.","410",NA
"Vamos pedir aos portugueses que tenham uma atitude mais pró-activa.","411",NA
"Temos todos de nos empenhar em criar uma imagem mais positiva do nosso País.","411",NA
"O nosso desígnio é formar uma aliança entre vastas camadas da sociedade portuguesa, destinada a projectar internamente e no Mundo uma boa imagem de Portugal e dos portugueses.","411",NA
"O Plano Tecnológico é a peça central da proposta económica do PS","411",NA
"e consiste num conjunto articulado de políticas e de medidas transversais, ao serviço da visão de, a médio prazo, transformar Portugal numa moderna sociedade do conhecimento.","411",NA
"Com este Plano pretende-se:","411",NA
"• Convocar Portugal para a sociedade da informação;","411",NA
"• Imprimir um novo impulso à inovação empresarial;","411",NA
"• Vencer o atraso científico e tecnológico;","411",NA
"• Qualificar os recursos humanos.","411",NA
"A concretização do Plano Tecnológico tem em conta que a qualificação do capital humano é o principal factor de progresso de qualquer sociedade.","411",NA
"Por isso, a agenda do PS preconiza uma viragem no sistema educativo,","506",NA
"de modo a melhorar a eficiência do ensino,","506",NA
"elevando o nível de aptidões dos estudantes","506",NA
"e reduzindo o abandono escolar;","506",NA
"acelerar e qualificar as acções de formação e de reconversão;","411",NA
"promover a capacidade de gestão e de inovação nas nossas empresas.","411",NA
"A criação de um ambiente de negócios de nível internacional resultará de um conjunto articulado de medidas destinadas a reduzir a burocracia administrativa e fiscal,","303",NA
"modernizar a Administração Pública,","303",NA
"aumentar a qualificação profissional","411",NA
"e melhorar o governo das empresas.","303",NA
"Importa dar uma especial atenção ao tecido das PME, que actualmente enfrenta grandes dificuldades devido à concorrência externa, à recessão, à evolução cambial e ao desarmamento pautal em diversos sectores do comércio internacional.","402",NA
"É uma agenda ambiciosa e que não esconde as dificuldades.","404",NA
"A todos os níveis, é necessário criar um ambiente de rigor e de criação de oportunidades.","410",NA
